ConceptID,ConceptLabel,Dependencies
1,Python Programming,
2,Data Types,1
3,Data Structures,1|2
4,Version Control,
5,GitHub,4
6,Integrated Development Environment,
7,Visual Studio Code,6
8,Command Line Interface,
9,Software Agents,1|11|12
10,Agency Levels,9|61
11,Knowledge Representation,
12,Tools,1|43
13,Tool Calling,12|17
14,Tool Catalogs,12|13|29
15,Local Development Environment,7|8|16
16,Ollama,8|17|21
17,Large Language Models,
18,DeepSeek R1,17|139|140|141
19,Prompt Engineering,17
20,Basic Tool-Calling Agents,9|13|19
21,Graphics Processing Unit,78|79
22,GPU Optimization,16|21|41
23,SmolAgents Library,9|30|82
24,Agent Frameworks,9|25|26|27
25,LangChain,9|13|153
26,PydanticAI,9|13
27,ReAct Framework,9|83|84
28,Custom Tools,12|43|44|45
29,Tool Documentation,12|43|91
30,Code Agents,9|31|32|100
31,Direct Code Generation,17|59|77
32,Code Execution,31|50|51|52
33,Public Knowledge,17
34,Private Knowledge,
35,Knowledge Sources Integration,33|34|85|143
36,Multi-Agent Systems,9|106|107|108|109
37,Error Handling,119|136|195
38,Safety Considerations,37|50|51|52|103
39,Intelligent Textbook,
40,Lightweight LLMs,17|142
41,GPU Memory Requirements,21|80
42,Token Generation Rate,17|80|112
43,Python Docstrings,1
44,Decorators,1
45,Tool Decorator,12|44
46,Function Parameters,1
47,Parameter Types,2|46
48,Return Types,2
49,ISO 11179 Definitions,
50,Controlled Imports,52|104
51,Sandboxed Environment,52|105
52,Code Security,
53,LLM Integration,17|81
54,Agent Architecture,9|199
55,Decision-Making Agents,9|56
56,Function-Calling Agents,9|13|173
57,Iterative Agents,9|118
58,Workflow Agents,9|93|117
59,Code-Generating Agents,9|30|31
60,Agentic Execution,9|61|158
61,LLM Agent Control,9|158
62,Agency Spectrum,9|10|61
63,Knowledge Graphs,11
64,Ontologies,11|63
65,Semantic Networks,11|63
66,Frames,11
67,Rules-Based Systems,11|99
68,Logic-Based Systems,11
69,Information Organization,11
70,Reasoning Mechanisms,11|124|125|126
71,Semantic Grounding,11|127|128
72,Procedural Code,1
73,Declarative Code,1
74,Agentic Code,1|9|60
75,JSON Formatting,1|2
76,LLM Response Parsing,17|75
77,Python Code Snippets,1
78,Matrix Operations,
79,Parallel Processing,
80,Model Inference,17|42
81,Local LLM Deployment,16|131|132|133
